"filename", "language", "JavaScript", "JSON", "Batch", "PowerShell", "Objective-C", "C", "XML", "Groovy", "Java Properties", "Java", "Ini", "comment", "blank", "total"
"c:\HAMRANDROID\hamr-android\hamr\package-lock.json", "JSON", 0, 22643, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22644
"c:\HAMRANDROID\hamr-android\hamr\package.json", "JSON", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 64
"c:\HAMRANDROID\hamr-android\hamr\scripts\fixNodeModules.ps1", "PowerShell", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\HAMRANDROID\hamr-android\hamr\scripts\gclean.bat", "Batch", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\HAMRANDROID\hamr-android\hamr\scripts\pullArchiveData.ps1", "PowerShell", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\HAMRANDROID\hamr-android\hamr\scripts\pullHamrData.ps1", "PowerShell", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\HAMRANDROID\hamr-android\hamr\styles\colors.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 28
"c:\HAMRANDROID\hamr-android\hamr\styles\inventoryStyles.js", "JavaScript", 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 185
"c:\HAMRANDROID\hamr-android\hamr\styles\modalStyles.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 69
"c:\HAMRANDROID\hamr-android\hamr\styles\orderStyles.js", "JavaScript", 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 176
"c:\HAMRANDROID\hamr-android\hamr\translations\en.json", "JSON", 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 266
"c:\HAMRANDROID\hamr-android\hamr\translations\fr.json", "JSON", 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 261
"c:\HAMRANDROID\hamr-android\hamr\translations\langHelpers.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 31
"Total", "-", 12796, 23270, 79, 9, 78, 5, 88, 161, 17, 1146, 69, 940, 2763, 41421
